id|index|start|stop
0110|0|6|23
0110|1|24|39
0110|2|40|47
0110|3|48|55
0110|4|56|63
0120|0|9|19
0120|1|21|31
0120|2|34|39
0120|3|41|51
0120|4|52|63
0140|0|1|7
0140|1|40|63
0140|2|14|39
0180|0|1|12
0180|1|13|14
0180|2|15|20
0180|3|21|28
0180|4|32|36
0180|5|37|38
0180|6|39|47
01a0|0|12|20
01a0|1|25|31
01a0|2|32|63
0280|0|3|15
0280|1|19|31
0280|2|35|47
0280|3|51|63
0290|0|2|8
0290|1|34|40
0290|2|50|56
0290|3|57|63
0290|4|18|24
0295|0|6|18
0295|1|23|31
0300|0|2|3
0300|1|14|25
0300|2|26|27
0300|3|28|29
0300|4|40|55
0300|5|4|7
0300|7|8|10
0301|0|19|47
0301|1|54|55
0380|0|0|1
0380|1|13|23
0380|2|2|3
0380|3|32|33
0380|4|34|35
0380|5|36|39
0380|6|8|11
0380|7|45|48
0380|8|55|56
0380|9|57|63
0381|0|0|2
0381|1|24|30
0381|2|3|4
0381|3|31|38
0381|4|40|47
0381|6|7|15
0383|0|0|4
0383|1|10|39
0383|2|6|7
0410|0|9|23
0410|1|24|32
0410|2|33|38
0410|3|39|40
0410|4|41|48
0410|5|49|54
0440|0|3|4
0440|1|13|22
0440|2|5|8
04a0|0|16|33
04a0|1|34|47
0510|0|5|15
0510|1|17|23
0510|2|25|31
0510|3|32|63
0531|0|6|39
